id,name,launch_date,cores,threads,bus_speed,base_frequency,turbo_frequency,cache_size,max_memory_size,max_temp
685,Intel Core i7-9700F,5/1/2019,8,8,8,3000,4700,12288,134217728,100
686,Intel Core i7-9700T,5/1/2019,8,8,8,2000,4300,12288,134217728,100
687,Intel Core i7-9850H,5/1/2019,6,12,8,2600,4600,12288,134217728,100
688,Intel Core i7-9750HF,5/1/2019,6,12,8,2600,4500,12288,134217728,100
689,Intel Core i7-9750H,5/1/2019,6,12,8,2600,4500,12288,134217728,100
690,Intel Core i7-9700E,5/1/2019,8,8,8,2600,4400,12288,134217728,100
691,Intel Core i7-9850HE,5/1/2019,6,12,8,2700,4400,9216,67108864,100
692,Intel Core i7-9700TE,5/1/2019,8,8,8,1800,3800,12288,134217728,100
693,Intel Core i7-9850HL,5/1/2019,6,12,8,1900,4100,9216,67108864,100
694,Intel Core i3-8145UE,5/1/2019,2,4,4,2200,3900,4096,67108864,100
695,Intel Pentium Gold G5600T,5/1/2019,2,4,8,3300,,4096,67108864,88
696,Intel Pentium Gold G5420,5/1/2019,2,4,8,3800,,4096,67108864,100
697,Intel Pentium Gold G5620,5/1/2019,2,4,8,4000,,4096,67108864,100
698,Intel Pentium Gold G5420T,5/1/2019,2,4,8,3200,,4096,67108864,88
699,Intel Core i9-9900T,5/1/2019,8,16,8,2100,4400,16384,134217728,100
700,Intel Core i9-9900,5/1/2019,8,16,8,3100,5000,16384,134217728,100
701,Intel Core i9-9880H,5/1/2019,8,16,8,2300,4800,16384,134217728,100
702,Intel Core i9-9980HK,5/1/2019,8,16,8,2400,5000,16384,134217728,100
703,Intel Celeron G4930,5/1/2019,2,2,8,3200,,2048,67108864,100
704,Intel Celeron G4930T,5/1/2019,2,2,8,3000,,2048,67108864,88
705,Intel Celeron G4950,5/1/2019,2,2,8,3300,,2048,67108864,100
706,Intel Celeron G4932E,5/1/2019,2,2,8,1900,1900,2048,67108864,100
707,Intel Celeron G4930E,5/1/2019,2,2,8,2400,2400,2048,67108864,100
708,Intel Core i3-9300,5/1/2019,4,4,8,3700,4300,8192,67108864,100
709,Intel Core i3-9300T,5/1/2019,4,4,8,3200,3800,8192,67108864,82
710,Intel Core i3-9100T,5/1/2019,4,4,8,3100,3700,6144,67108864,82
711,Intel Core i3-9350K,5/1/2019,4,4,8,4000,4600,8192,67108864,100
712,Intel Core i3-9100F,5/1/2019,4,4,8,3600,4200,6144,67108864,100
713,Intel Core i3-9320,5/1/2019,4,4,8,3700,4400,8192,67108864,100
714,Intel Core i3-9100,5/1/2019,4,4,8,3600,4200,6144,67108864,100
715,Intel Core i3-9100E,5/1/2019,4,4,8,3100,3700,6144,67108864,100
716,Intel Core i3-9100HL,5/1/2019,4,4,8,1600,2900,6144,67108864,100
717,Intel Core i3-9100TE,5/1/2019,4,4,8,2200,3200,6144,67108864,100
718,Intel Xeon Silver 4209T,5/1/2019,8,16,,2200,3200,11264,1073741824,91
719,Intel Xeon Silver 4210,5/1/2019,10,20,,2200,3200,14080,1073741824,78
720,Intel Xeon Silver 4214,5/1/2019,12,24,,2200,3200,16896,1073741824,77
721,Intel Xeon Bronze 3204,5/1/2019,6,6,,1900,1900,8448,1073741824,77
722,Intel Xeon Silver 4208,5/1/2019,8,16,,2100,3200,11264,1073741824,78
723,Intel Xeon Silver 4216,5/1/2019,16,32,,2100,3200,22528,1073741824,79
724,Intel Xeon Silver 4214Y,5/1/2019,12,24,,2200,3200,16896,1073741824,77
725,Intel Xeon Silver 4215,5/1/2019,8,16,,2500,3500,11264,1073741824,77
726,Intel Xeon E-2288G,5/1/2019,8,16,8,3700,5000,16384,134217728,100
727,Intel Xeon E-2278G,5/1/2019,8,16,8,3400,5000,16384,134217728,100
728,Intel Xeon E-2226GE,5/1/2019,6,6,8,3400,4600,12288,134217728,
729,Intel Xeon E-2278GEL,5/1/2019,8,16,8,2000,3900,16384,134217728,
730,Intel Xeon E-2276ML,5/1/2019,6,12,8,2000,4200,12288,67108864,100
731,Intel Xeon E-2254ML,5/1/2019,4,8,8,1700,3500,8192,67108864,100
732,Intel Xeon E-2276ME,5/1/2019,6,12,8,2800,4500,12288,67108864,100
733,Intel Xeon E-2254ME,5/1/2019,4,8,8,2600,3800,8192,67108864,100
734,Intel Xeon E-2286G,5/1/2019,6,12,8,4000,4900,12288,134217728,100
735,Intel Xeon E-2276G,5/1/2019,6,12,8,3800,4900,12288,134217728,100
736,Intel Xeon E-2224,5/1/2019,4,4,8,3400,4600,8192,134217728,100
737,Intel Xeon E-2224G,5/1/2019,4,4,8,3500,4700,8192,134217728,100
738,Intel Xeon W-3275,5/1/2019,28,56,8,2500,4400,39424,1073741824,76
739,Intel Xeon W-3265M,5/1/2019,24,48,8,2700,4400,33792,2147483648,78
740,Intel Xeon W-3235,5/1/2019,12,24,8,3300,4400,19712,1073741824,72
741,Intel Xeon W-3225,5/1/2019,8,16,8,3700,4300,16896,1073741824,68
742,Intel Xeon W-3265,5/1/2019,24,48,8,2700,4400,33792,1073741824,78
743,Intel Xeon W-3223,5/1/2019,8,16,8,3500,4000,16896,1073741824,68
744,Intel Xeon W-3245M,5/1/2019,16,32,8,3200,4400,22528,2147483648,77
745,Intel Xeon W-3275M,5/1/2019,28,56,8,2500,4400,39424,2147483648,76
746,Intel Xeon E-2226G,5/1/2019,6,6,8,3400,4700,12288,134217728,100
747,Intel Xeon E-2234,5/1/2019,4,8,8,3600,4800,8192,134217728,100
748,Intel Xeon E-2236,5/1/2019,6,12,8,3400,4800,12288,134217728,100
